TcpVariant,WiredNodes,WirelessNodes,FlowsEachDirection,PktPerSec,ThroughputMbps,AvgDelayMs,PDR,DRR,AvgJitterMs,MeanPerNodeThroughputMbps,JainFairness
custom,10,10,5,100,0.446606,310.503637,0.856776,0.138659,5.538922,0.037852,0.198365
custom,20,20,5,100,0.0,0.0,0.0,0.625,0.0,0.0,0.0
custom,10,10,5,200,0.454894,395.90409,0.85372,0.142052,8.000325,0.035708,0.199587
custom,20,20,5,200,0.0,0.0,0.0,0.625,0.0,0.0,0.0
custom,10,10,5,300,0.43061,382.388017,0.899119,0.096323,7.640702,0.03126,0.199894
custom,20,20,5,300,0.0,0.0,0.0,0.625,0.0,0.0,0.0
custom,10,10,10,100,0.447181,425.670797,0.753022,0.239082,11.889588,0.008671,0.109879
custom,20,20,10,100,0.0,0.0,0.0,0.625,0.0,0.0,0.0
custom,10,10,10,200,0.444222,429.186555,0.782731,0.209326,12.928867,0.008899,0.111082
custom,20,20,10,200,0.0,0.0,0.0,0.625,0.0,0.0,0.0
custom,10,10,10,300,0.453002,408.462728,0.787471,0.204245,11.545219,0.009158,0.110808
custom,20,20,10,300,0.0,0.0,0.0,0.625,0.0,0.0,0.0
custom,10,10,15,100,0.436494,384.236544,0.788346,0.199634,11.204392,0.008191,0.110363
custom,20,20,15,100,0.04116,63.819439,0.491329,0.427746,5.238269,0.001195,0.066047
custom,10,10,15,200,0.436563,421.64569,0.765003,0.223399,13.716501,0.00878,0.110847
custom,20,20,15,200,0.054891,150.356624,0.560799,0.362976,6.979017,0.001615,0.060068
custom,10,10,15,300,0.456558,409.375291,0.770594,0.217923,11.260607,0.009185,0.111104
custom,20,20,15,300,0.050317,112.226451,0.549323,0.369439,7.258492,0.00148,0.061183
rtt-aware,10,10,5,100,0.446606,310.503637,0.859719,0.1357,5.538922,0.037852,0.198365
rtt-aware,20,20,5,100,0.0,0.0,0.0,0.625,0.0,0.0,0.0
rtt-aware,10,10,5,200,0.45372,388.024134,0.848854,0.146901,7.964089,0.032835,0.196318
rtt-aware,20,20,5,200,0.0,0.0,0.0,0.625,0.0,0.0,0.0
rtt-aware,10,10,5,300,0.429365,379.545756,0.893236,0.102214,7.687949,0.032161,0.199495
rtt-aware,20,20,5,300,0.0,0.0,0.0,0.625,0.0,0.0,0.0
rtt-aware,10,10,10,100,0.447181,425.670797,0.75358,0.238519,11.889588,0.008671,0.109879
rtt-aware,20,20,10,100,0.0,0.0,0.0,0.625,0.0,0.0,0.0
rtt-aware,10,10,10,200,0.444222,429.186555,0.783735,0.208312,12.928867,0.008899,0.111082
rtt-aware,20,20,10,200,0.0,0.0,0.0,0.625,0.0,0.0,0.0
rtt-aware,10,10,10,300,0.452766,407.753673,0.789255,0.20244,11.5293,0.009158,0.110808
rtt-aware,20,20,10,300,0.0,0.0,0.0,0.625,0.0,0.0,0.0
rtt-aware,10,10,15,100,0.434112,382.756913,0.788149,0.19979,11.196106,0.008156,0.110434
rtt-aware,20,20,15,100,0.04116,63.819439,0.491329,0.427746,5.238269,0.001195,0.066047
rtt-aware,10,10,15,200,0.436563,421.23306,0.766162,0.222222,13.762642,0.008792,0.110833
rtt-aware,20,20,15,200,0.054891,150.356624,0.560799,0.362976,6.979017,0.001615,0.060068
rtt-aware,10,10,15,300,0.456558,409.272852,0.771172,0.217337,11.278999,0.009185,0.111104
rtt-aware,20,20,15,300,0.050317,112.226451,0.549323,0.369439,7.258492,0.00148,0.061183
